id,subj,cls,type,diff,text,ans
,Mathematics,JSS1,Objective,Easy,What is 12 + 8?,20
,Mathematics,JSS1,Objective,Easy,What is the value of x in 2x = 10?,5
,Mathematics,JSS1,Theory,Medium,Simplify: 3(x+2) - 4,3x+2
,Mathematics,JSS1,Theory,Hard,A car travels 240km in 4 hours. Find its speed.,60 km/h
,English,JSS1,Objective,Easy,Choose the noun: She runs quickly to the market.,market
,English,JSS1,Theory,Medium,Write a short letter to your friend about your last holiday.,
,Basic Science,JSS1,Objective,Easy,Which planet is closest to the sun?,Mercury
,Basic Science,JSS1,True/False,Easy,Water boils at 100 degrees Celsius at sea level.,True
,Basic Science,JSS1,Theory,Medium,List three states of matter and give one example of each.,Solid: Ice; Liquid: Water; Gas: Steam
,Mathematics,SSS1,Theory,Hard,Solve the quadratic equation: x^2 - 5x + 6 = 0,x=2 or x=3
